
--- Dataset Generation Session Started: 2025-12-12 11:32:11.054280 ---
Attempting to generate 200 NEW samples (starting from ID 0).

Sample 0: SUCCESS - Success (Time: 25.68s)
Sample 1: SUCCESS - Success (Time: 26.23s)
Sample 2: SUCCESS - Success (Time: 49.68s)
Sample 3: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.41s)
Sample 4: SUCCESS - Success (Time: 90.83s)
Sample 5: SUCCESS - Success (Time: 93.03s)
Sample 6: SUCCESS - Success (Time: 37.64s)
Sample 7: SUCCESS - Success (Time: 34.98s)
Sample 8: SUCCESS - Success (Time: 41.58s)
Sample 9: SUCCESS - Success (Time: 26.79s)
Sample 10: SUCCESS - Success (Time: 59.79s)
Sample 11: SUCCESS - Success (Time: 42.64s)
Sample 12: SUCCESS - Success (Time: 86.05s)
Sample 13: SUCCESS - Success (Time: 43.33s)
Sample 14: SUCCESS - Success (Time: 57.85s)
Sample 15: SUCCESS - Success (Time: 99.40s)
Sample 16: SUCCESS - Success (Time: 137.59s)
Sample 17: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.25s)
Sample 18: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.33s)
Sample 19: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.33s)
Sample 20: SUCCESS - Success (Time: 32.68s)
Sample 21: SUCCESS - Success (Time: 23.75s)
Sample 22: SUCCESS - Success (Time: 27.18s)
Sample 23: SUCCESS - Success (Time: 26.73s)
Sample 24: SUCCESS - Success (Time: 20.50s)
Sample 25: SUCCESS - Success (Time: 25.54s)
Sample 26: SUCCESS - Success (Time: 41.26s)
Sample 27: SUCCESS - Success (Time: 41.49s)
Sample 28: SUCCESS - Success (Time: 52.31s)
Sample 29: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.24s)
Sample 30: SUCCESS - Success (Time: 29.39s)
Sample 31: SUCCESS - Success (Time: 73.01s)
Sample 32: SUCCESS - Success (Time: 44.73s)
Sample 33: SUCCESS - Success (Time: 54.71s)
Sample 34: SUCCESS - Success (Time: 25.28s)
Sample 35: SUCCESS - Success (Time: 32.74s)
Sample 36: FAILED - BadData_130Rule_Fail_Z_pos (Time: 5.97s)
Sample 37: SUCCESS - Success (Time: 295.30s)
Sample 38: FAILED - BadData_130Rule_Fail_Z_pos (Time: 19.23s)
Sample 39: SUCCESS - Success (Time: 17.02s)
Sample 40: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.28s)
Sample 41: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.36s)
Sample 42: SUCCESS - Success (Time: 296.05s)
Sample 43: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.34s)
Sample 44: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.47s)
Sample 45: SUCCESS - Success (Time: 27.05s)
Sample 46: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.35s)
Sample 47: SUCCESS - Success (Time: 32.20s)
Sample 48: SUCCESS - Success (Time: 39.43s)
Sample 49: SUCCESS - Success (Time: 47.02s)
Sample 50: SUCCESS - Success (Time: 44.84s)
Sample 51: SUCCESS - Success (Time: 36.79s)
Sample 52: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.26s)
Sample 53: SUCCESS - Success (Time: 55.88s)
Sample 54: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.18s)
Sample 55: SUCCESS - Success (Time: 47.21s)
Sample 56: SUCCESS - Success (Time: 81.12s)
Sample 57: SUCCESS - Success (Time: 33.41s)
Sample 58: SUCCESS - Success (Time: 59.12s)
Sample 59: SUCCESS - Success (Time: 29.07s)
Sample 60: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.32s)
Sample 61: SUCCESS - Success (Time: 23.29s)
Sample 62: SUCCESS - Success (Time: 74.70s)
Sample 63: SUCCESS - Success (Time: 48.06s)
Sample 64: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.32s)
Sample 65: SUCCESS - Success (Time: 37.55s)
Sample 66: SUCCESS - Success (Time: 36.15s)
Sample 67: SUCCESS - Success (Time: 26.12s)
Sample 68: SUCCESS - Success (Time: 45.23s)
Sample 69: SUCCESS - Success (Time: 57.59s)
Sample 70: SUCCESS - Success (Time: 40.35s)
Sample 71: SUCCESS - Success (Time: 21.25s)
Sample 72: SUCCESS - Success (Time: 57.53s)
Sample 73: SUCCESS - Success (Time: 34.03s)
Sample 74: SUCCESS - Success (Time: 28.79s)
Sample 75: SUCCESS - Success (Time: 23.95s)
Sample 76: SUCCESS - Success (Time: 46.58s)
Sample 77: SUCCESS - Success (Time: 32.45s)
Sample 78: SUCCESS - Success (Time: 42.26s)
Sample 79: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.40s)
