Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000420,45582.630000,45582.600000
0.000840,91164.900000,91164.900000
0.001260,136746.600000,136747.000000
0.001680,182327.400000,182327.000000
0.002100,227907.300000,227907.000000
0.002520,273486.000000,273486.000000
0.002940,319062.900000,319063.000000
0.003360,364638.600000,364639.000000
0.003780,410212.200000,410212.000000
0.004200,455783.700000,455784.000000
0.004620,501352.800000,501353.000000
0.005040,546919.500000,546919.000000
0.005460,592482.900000,592483.000000
0.005880,637875.900000,637876.000000
0.006300,682863.600000,682864.000000
0.006720,727277.400000,727276.000000
0.007140,770916.000000,770916.000000
0.007560,814313.700000,814314.000000
0.007980,857067.000000,857066.000000
0.008400,898831.800000,898827.000000
0.008820,939838.200000,939838.000000
0.009240,980246.400000,980246.000000
0.009660,1019266.800000,1019260.000000
0.010080,1057153.800000,1057150.000000
0.010500,1094159.100000,1094160.000000
0.010920,1129623.300000,1129620.000000
0.011340,1164335.700000,1164330.000000
0.011760,1198426.500000,1198430.000000
0.012180,1231793.100000,1231790.000000
0.012600,1263831.000000,1263820.000000
0.013020,1295018.100000,1295020.000000
0.013440,1325343.000000,1325340.000000
0.013860,1354848.000000,1354850.000000
0.014280,1384179.000000,1384180.000000
0.014700,1413375.000000,1413370.000000
0.015120,1441692.000000,1441680.000000
0.015540,1468848.000000,1468840.000000
0.015960,1495632.000000,1495630.000000
0.016380,1521945.000000,1521940.000000
0.016800,1547841.000000,1547840.000000
0.017220,1573407.000000,1573410.000000
0.017640,1598760.000000,1598760.000000
0.018060,1623588.000000,1623590.000000
0.018480,1647861.000000,1647860.000000
0.018900,1671627.000000,1671620.000000
0.019320,1694865.000000,1694860.000000
0.019740,1717665.000000,1717660.000000
0.020160,1740207.000000,1740210.000000
0.020580,1762593.000000,1762590.000000
0.021000,1784844.000000,1784840.000000
0.021420,1806840.000000,1806840.000000
0.021840,1828614.000000,1828610.000000
0.022260,1850172.000000,1850170.000000
0.022680,1871124.000000,1871110.000000
0.023100,1891845.000000,1891850.000000
0.023520,1912416.000000,1912410.000000
0.023940,1932942.000000,1932940.000000
0.024360,1953201.000000,1953190.000000
0.024780,1973229.000000,1973220.000000
0.025200,1993062.000000,1993060.000000
0.025620,2012724.000000,2012720.000000
0.026040,2032170.000000,2032160.000000
0.026460,2051448.000000,2051450.000000
0.026880,2070702.000000,2070700.000000
0.027300,2089827.000000,2089830.000000
0.027720,2108793.000000,2108790.000000
0.028140,2127570.000000,2127560.000000
0.028560,2146239.000000,2146240.000000
0.028980,2164815.000000,2164820.000000
0.029400,2183109.000000,2183100.000000
0.029820,2201379.000000,2201380.000000
0.030240,2219595.000000,2219600.000000
0.030660,2237688.000000,2237690.000000
0.031080,2255718.000000,2255720.000000
0.031500,2273658.000000,2273650.000000
0.031920,2291457.000000,2291460.000000
0.032340,2309181.000000,2309180.000000
0.032760,2326878.000000,2326880.000000
0.033180,2344542.000000,2344540.000000
0.033600,2362161.000000,2362160.000000
0.034020,2379729.000000,2379730.000000
0.034440,2397150.000000,2397150.000000
0.034860,2414478.000000,2414470.000000
0.035280,2431746.000000,2431750.000000
0.035700,2448984.000000,2448980.000000
0.036120,2466186.000000,2466190.000000
0.036540,2483214.000000,2483200.000000
0.036960,2500053.000000,2500050.000000
0.037380,2516748.000000,2516740.000000
0.037800,2533338.000000,2533340.000000
0.038220,2549901.000000,2549900.000000
0.038640,2566428.000000,2566430.000000
0.039060,2582910.000000,2582910.000000
0.039480,2599338.000000,2599340.000000
0.039900,2615634.000000,2615620.000000
0.040320,2631744.000000,2631740.000000
0.040740,2647746.000000,2647740.000000
0.041160,2663676.000000,2663680.000000
0.041580,2679531.000000,2679530.000000
0.042000,2695317.000000,2695320.000000
0.042420,2711046.000000,2711040.000000
0.042840,2726688.000000,2726690.000000
0.043260,2742267.000000,2742270.000000
0.043680,2757747.000000,2757750.000000
0.044100,2773041.000000,2773040.000000
0.044520,2788206.000000,2788200.000000
0.044940,2803215.000000,2803220.000000
0.045360,2818086.000000,2818090.000000
0.045780,2832786.000000,2832790.000000
0.046200,2847306.000000,2847300.000000
0.046620,2861637.000000,2861640.000000
0.047040,2875788.000000,2875790.000000
0.047460,2889780.000000,2889780.000000
0.047880,2903592.000000,2903590.000000
0.048300,2917248.000000,2917250.000000
0.048720,2930745.000000,2930750.000000
0.049140,2944092.000000,2944090.000000
0.049560,2957292.000000,2957290.000000
0.049980,2970357.000000,2970360.000000
0.050400,2983308.000000,2983310.000000
0.050820,2996133.000000,2996130.000000
0.051240,3008883.000000,3008880.000000
0.051660,3021519.000000,3021520.000000
0.052080,3034095.000000,3034090.000000
0.052500,3046596.000000,3046600.000000
0.052920,3059013.000000,3059010.000000
0.053340,3070992.000000,3070970.000000
0.053760,3082608.000000,3082600.000000
0.054180,3093978.000000,3093980.000000
0.054600,3105327.000000,3105330.000000
0.055020,3116640.000000,3116640.000000
0.055440,3127896.000000,3127900.000000
0.055860,3139095.000000,3139100.000000
0.056280,3150264.000000,3150270.000000
0.056700,3161394.000000,3161400.000000
0.057120,3172482.000000,3172480.000000
0.057540,3183516.000000,3183520.000000
0.057960,3194523.000000,3194520.000000
0.058380,3205470.000000,3205470.000000
0.058800,3216339.000000,3216340.000000
0.059220,3227040.000000,3227040.000000
0.059640,3237483.000000,3237480.000000
0.060060,3247827.000000,3247830.000000
0.060480,3258045.000000,3258050.000000
0.060900,3268113.000000,3268110.000000
0.061320,3278001.000000,3278000.000000
0.061740,3287694.000000,3287690.000000
0.062160,3297186.000000,3297180.000000
0.062580,3306477.000000,3306470.000000
0.063000,3315543.000000,3315540.000000
0.063420,3324432.000000,3324430.000000
0.063840,3333141.000000,3333140.000000
0.064260,3341661.000000,3341660.000000
0.064680,3350031.000000,3350030.000000
0.065100,3358251.000000,3358250.000000
0.065520,3366324.000000,3366320.000000
0.065940,3374250.000000,3374250.000000
0.066360,3382014.000000,3382010.000000
0.066780,3389664.000000,3389660.000000
0.067200,3397200.000000,3397200.000000
0.067620,3404595.000000,3404590.000000
0.068040,3411867.000000,3411860.000000
0.068460,3419082.000000,3419080.000000
0.068880,3426231.000000,3426230.000000
0.069300,3433299.000000,3433300.000000
