Time,Moment_My_N-m,Curvature_phi_y_rad/m
5.347640e+04,1.665770e-16,-6.900420e+03
1.069530e+05,1.750710e-16,-1.380080e+04
1.604280e+05,1.848750e-16,-2.070110e+04
2.139040e+05,1.835460e-16,-2.760140e+04
2.673790e+05,1.855910e-16,-3.450160e+04
3.208530e+05,1.754140e-16,-4.140180e+04
3.743270e+05,1.769670e-16,-4.830190e+04
4.278000e+05,1.782960e-16,-5.520180e+04
4.812720e+05,1.840160e-16,-6.210180e+04
5.347440e+05,1.814930e-16,-6.900150e+04
5.882140e+05,1.805530e-16,-7.590120e+04
6.416820e+05,1.847480e-16,-8.280080e+04
6.951500e+05,1.864550e-16,-8.970020e+04
7.486160e+05,1.906730e-16,-9.659940e+04
8.020800e+05,1.854550e-16,-1.034990e+05
8.555230e+05,1.857670e-16,-1.103960e+05
9.087000e+05,1.846140e-16,-1.172790e+05
9.613840e+05,1.847920e-16,-1.241420e+05
1.013550e+06,1.833960e-16,-1.309740e+05
1.065310e+06,1.840760e-16,-1.378320e+05
1.116660e+06,1.986020e-16,-1.445520e+05
1.167540e+06,1.938670e-16,-1.512220e+05
1.218080e+06,1.944240e-16,-1.579160e+05
1.268380e+06,1.981650e-16,-1.645970e+05
1.318130e+06,2.037440e-16,-1.711420e+05
1.366550e+06,2.075420e-16,-1.774450e+05
1.414170e+06,2.084560e-16,-1.835850e+05
1.460340e+06,2.088500e-16,-1.897620e+05
1.505360e+06,2.224780e-16,-1.958580e+05
1.549610e+06,2.286750e-16,-2.016890e+05
1.593010e+06,2.274540e-16,-2.073000e+05
1.635450e+06,2.292100e-16,-2.128280e+05
1.677300e+06,2.169840e-16,-2.183880e+05
1.718490e+06,2.352540e-16,-2.238670e+05
1.758880e+06,2.377800e-16,-2.292930e+05
1.799010e+06,2.408710e-16,-2.345930e+05
1.838600e+06,2.463370e-16,-2.398420e+05
1.877170e+06,2.316050e-16,-2.446360e+05
1.915110e+06,2.291600e-16,-2.494240e+05
1.952710e+06,2.319530e-16,-2.542010e+05
1.989910e+06,2.355820e-16,-2.588660e+05
2.026650e+06,2.357300e-16,-2.635230e+05
2.062840e+06,2.318430e-16,-2.682080e+05
2.098830e+06,2.444780e-16,-2.728320e+05
2.134340e+06,2.465290e-16,-2.772050e+05
2.169050e+06,2.479390e-16,-2.814970e+05
2.203310e+06,2.315260e-16,-2.855810e+05
2.237190e+06,2.345120e-16,-2.896550e+05
2.270800e+06,2.354360e-16,-2.937570e+05
2.303930e+06,2.485630e-16,-2.977490e+05
2.336490e+06,2.440320e-16,-3.017580e+05
2.368780e+06,2.447690e-16,-3.057350e+05
2.400820e+06,2.454310e-16,-3.096850e+05
2.432560e+06,2.422630e-16,-3.135880e+05
2.463890e+06,2.373270e-16,-3.172780e+05
2.494860e+06,2.371940e-16,-3.209460e+05
2.525460e+06,2.468540e-16,-3.246250e+05
2.555960e+06,2.560100e-16,-3.282540e+05
2.586280e+06,2.498460e-16,-3.318600e+05
2.616300e+06,2.465830e-16,-3.352530e+05
2.646240e+06,2.422260e-16,-3.386350e+05
2.676090e+06,2.503610e-16,-3.420220e+05
2.705590e+06,2.442750e-16,-3.454530e+05
2.734900e+06,2.506850e-16,-3.488980e+05
2.764090e+06,2.555100e-16,-3.523070e+05
2.793030e+06,2.600520e-16,-3.556840e+05
2.821700e+06,2.500710e-16,-3.590460e+05
2.850080e+06,2.564580e-16,-3.623420e+05
2.878220e+06,2.389520e-16,-3.655010e+05
2.906250e+06,2.450560e-16,-3.686530e+05
2.934130e+06,2.432400e-16,-3.718020e+05
2.961690e+06,2.318480e-16,-3.749520e+05
2.989100e+06,2.397080e-16,-3.780900e+05
3.016420e+06,2.265500e-16,-3.812210e+05
3.043580e+06,2.356310e-16,-3.843410e+05
3.070680e+06,2.263980e-16,-3.874560e+05
3.097710e+06,2.393010e-16,-3.905740e+05
3.124660e+06,2.264620e-16,-3.936880e+05
3.151560e+06,2.368540e-16,-3.967980e+05
3.178360e+06,2.209720e-16,-3.998260e+05
3.204950e+06,2.286670e-16,-4.027850e+05
3.231400e+06,2.187650e-16,-4.057540e+05
3.257770e+06,2.262990e-16,-4.087190e+05
3.284010e+06,2.151480e-16,-4.116700e+05
3.310200e+06,2.259400e-16,-4.146280e+05
3.336270e+06,2.332610e-16,-4.175780e+05
3.362280e+06,2.350460e-16,-4.205330e+05
3.388280e+06,2.383300e-16,-4.234890e+05
3.414230e+06,2.314570e-16,-4.264440e+05
3.440100e+06,2.263600e-16,-4.293530e+05
3.465820e+06,2.289100e-16,-4.321380e+05
3.491520e+06,2.333490e-16,-4.349200e+05
3.517160e+06,2.366260e-16,-4.377010e+05
3.542720e+06,2.246480e-16,-4.404580e+05
3.568150e+06,2.229780e-16,-4.431990e+05
3.593390e+06,2.405150e-16,-4.459130e+05
3.618480e+06,2.411260e-16,-4.486340e+05
3.643490e+06,2.321280e-16,-4.513580e+05
3.668430e+06,2.328520e-16,-4.540790e+05
3.693290e+06,2.441070e-16,-4.567940e+05
3.718050e+06,2.369860e-16,-4.595100e+05
3.742770e+06,2.325370e-16,-4.622320e+05
3.767450e+06,2.444600e-16,-4.649530e+05
3.792080e+06,2.317540e-16,-4.676710e+05
3.816650e+06,2.344090e-16,-4.703830e+05
3.841100e+06,2.331880e-16,-4.730880e+05
3.865460e+06,2.322260e-16,-4.757920e+05
3.889770e+06,2.322930e-16,-4.784910e+05
3.914060e+06,2.312380e-16,-4.811870e+05
3.938250e+06,2.333810e-16,-4.838810e+05
3.962400e+06,2.304490e-16,-4.865730e+05
3.986480e+06,2.314560e-16,-4.892570e+05
4.010530e+06,2.301230e-16,-4.919370e+05
4.034470e+06,2.274600e-16,-4.946220e+05
4.058380e+06,2.349130e-16,-4.973050e+05
4.082250e+06,2.322780e-16,-4.999870e+05
4.106070e+06,2.272260e-16,-5.026700e+05
4.129790e+06,2.222050e-16,-5.053050e+05
4.153450e+06,2.206510e-16,-5.078760e+05
4.177060e+06,2.164700e-16,-5.104410e+05
4.200640e+06,2.247060e-16,-5.130040e+05
4.224150e+06,2.199980e-16,-5.155350e+05
4.247610e+06,2.144460e-16,-5.180630e+05
4.271030e+06,2.220710e-16,-5.205900e+05
4.294400e+06,2.212370e-16,-5.231140e+05
4.317720e+06,2.164160e-16,-5.256360e+05
4.341010e+06,2.228550e-16,-5.281570e+05
4.364250e+06,2.229530e-16,-5.306740e+05
4.387400e+06,2.166980e-16,-5.331910e+05
4.410520e+06,2.243380e-16,-5.357060e+05
4.433560e+06,2.246100e-16,-5.382260e+05
4.456560e+06,2.131290e-16,-5.407350e+05
4.479470e+06,2.216700e-16,-5.432000e+05
4.502340e+06,2.201340e-16,-5.456670e+05
