Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000560,179613.550000,179614.000000
0.001120,359221.300000,359221.000000
0.001680,538819.200000,538819.000000
0.002240,718403.300000,718403.000000
0.002800,897968.600000,897969.000000
0.003360,1077270.700000,1077270.000000
0.003920,1253683.400000,1253680.000000
0.004480,1426834.600000,1426830.000000
0.005040,1596274.200000,1596270.000000
0.005600,1758712.500000,1758710.000000
0.006160,1913264.000000,1913260.000000
0.006720,2062842.300000,2062840.000000
0.007280,2207671.600000,2207670.000000
0.007840,2347965.200000,2347960.000000
0.008400,2484926.800000,2484920.000000
0.008960,2618784.600000,2618780.000000
0.009520,2748849.000000,2748850.000000
0.010080,2875078.000000,2875070.000000
0.010640,2998727.000000,2998720.000000
0.011200,3119022.000000,3119010.000000
0.011760,3236540.000000,3236530.000000
0.012320,3351563.000000,3351560.000000
0.012880,3464809.000000,3464800.000000
0.013440,3574830.000000,3574810.000000
0.014000,3682828.000000,3682810.000000
0.014560,3788013.000000,3788000.000000
0.015120,3891121.000000,3891120.000000
0.015680,3992595.000000,3992590.000000
0.016240,4092214.000000,4092200.000000
0.016800,4189778.000000,4189760.000000
0.017360,4285402.000000,4285390.000000
0.017920,4379743.000000,4379740.000000
0.018480,4471931.000000,4471900.000000
0.019040,4562828.000000,4562820.000000
0.019600,4652463.000000,4652460.000000
0.020160,4741295.000000,4741290.000000
0.020720,4828241.000000,4828210.000000
0.021280,4913818.000000,4913810.000000
0.021840,4998510.000000,4998500.000000
0.022400,5082470.000000,5082460.000000
0.022960,5165639.000000,5165630.000000
0.023520,5247832.000000,5247820.000000
0.024080,5329375.000000,5329370.000000
0.024640,5409687.000000,5409660.000000
0.025200,5489212.000000,5489210.000000
0.025760,5568059.000000,5568060.000000
0.026320,5645855.000000,5645840.000000
0.026880,5722892.000000,5722880.000000
0.027440,5798872.000000,5798860.000000
0.028000,5874300.000000,5874290.000000
0.028560,5949261.000000,5949260.000000
0.029120,6023578.000000,6023570.000000
0.029680,6097179.000000,6097180.000000
0.030240,6170229.000000,6170220.000000
0.030800,6242570.000000,6242570.000000
0.031360,6314506.000000,6314500.000000
0.031920,6385947.000000,6385940.000000
0.032480,6456838.000000,6456830.000000
0.033040,6527061.000000,6527060.000000
0.033600,6596684.000000,6596690.000000
0.034160,6665878.000000,6665870.000000
0.034720,6734462.000000,6734440.000000
0.035280,6802392.000000,6802390.000000
0.035840,6869898.000000,6869890.000000
0.036400,6936938.000000,6936930.000000
0.036960,7003532.000000,7003530.000000
0.037520,7069638.000000,7069640.000000
0.038080,7135275.000000,7135270.000000
0.038640,7200379.000000,7200360.000000
0.039200,7264745.000000,7264740.000000
0.039760,7328561.000000,7328560.000000
0.040320,7391940.000000,7391940.000000
0.040880,7454886.000000,7454880.000000
0.041440,7517464.000000,7517460.000000
0.042000,7579660.000000,7579660.000000
0.042560,7641441.000000,7641440.000000
0.043120,7702665.000000,7702650.000000
0.043680,7763321.000000,7763320.000000
0.044240,7823488.000000,7823490.000000
0.044800,7883219.000000,7883220.000000
0.045360,7942578.000000,7942580.000000
0.045920,8001459.000000,8001450.000000
0.046480,8059892.000000,8059890.000000
0.047040,8117896.000000,8117890.000000
0.047600,8175491.000000,8175490.000000
0.048160,8232637.000000,8232630.000000
0.048720,8289264.000000,8289260.000000
0.049280,8345442.000000,8345430.000000
0.049840,8401198.000000,8401200.000000
0.050400,8456547.000000,8456540.000000
0.050960,8511514.000000,8511510.000000
0.051520,8566078.000000,8566070.000000
0.052080,8620202.000000,8620200.000000
0.052640,8673882.000000,8673880.000000
0.053200,8727130.000000,8727130.000000
0.053760,8779927.000000,8779930.000000
0.054320,8832307.000000,8832300.000000
0.054880,8884259.000000,8884260.000000
0.055440,8935792.000000,8935800.000000
0.056000,8986931.000000,8986930.000000
0.056560,9037645.000000,9037640.000000
0.057120,9087889.000000,9087890.000000
0.057680,9137706.000000,9137700.000000
0.058240,9166142.000000,9166140.000000
0.058800,9172335.000000,9172340.000000
0.059360,9164862.000000,9164860.000000
0.059920,9203998.000000,9204000.000000
0.060480,9192768.000000,9192770.000000
0.061040,9201537.000000,9201530.000000
0.061600,9247758.000000,9247740.000000
0.062160,9280034.000000,9280040.000000
0.062720,9292948.000000,9292940.000000
0.063280,9292779.000000,9292760.000000
0.063840,9265858.000000,9265860.000000
0.064400,9253118.000000,9253120.000000
