Roof_Displacement_m,Base_Shear_N,Pseudo_Time
-0.000700,-103407.250000,-103407.000000
-0.001400,-206812.900000,-206813.000000
-0.002100,-310216.200000,-310216.000000
-0.002800,-413615.800000,-413616.000000
-0.003500,-517011.200000,-517011.000000
-0.004200,-620400.500000,-620401.000000
-0.004900,-723783.400000,-723783.000000
-0.005600,-827158.000000,-827158.000000
-0.006300,-930349.200000,-930349.000000
-0.007000,-1032827.600000,-1032830.000000
-0.007700,-1134173.400000,-1134170.000000
-0.008400,-1234189.500000,-1234190.000000
-0.009100,-1332683.200000,-1332680.000000
-0.009800,-1429222.200000,-1429220.000000
-0.010500,-1523356.400000,-1523360.000000
-0.011200,-1614592.500000,-1614590.000000
-0.011900,-1703088.100000,-1703090.000000
-0.012600,-1788950.300000,-1788950.000000
-0.013300,-1871720.800000,-1871720.000000
-0.014000,-1952164.700000,-1952170.000000
-0.014700,-2031098.900000,-2031090.000000
-0.015400,-2108000.100000,-2108000.000000
-0.016100,-2182915.400000,-2182910.000000
-0.016800,-2256514.700000,-2256510.000000
-0.017500,-2328235.100000,-2328230.000000
-0.018200,-2398346.500000,-2398340.000000
-0.018900,-2467141.800000,-2467130.000000
-0.019600,-2534430.000000,-2534430.000000
-0.020300,-2600081.600000,-2600080.000000
-0.021000,-2664505.200000,-2664500.000000
-0.021700,-2727853.000000,-2727850.000000
-0.022400,-2790153.000000,-2790140.000000
-0.023100,-2851280.000000,-2851280.000000
-0.023800,-2911353.000000,-2911350.000000
-0.024500,-2970370.000000,-2970360.000000
-0.025200,-3028412.000000,-3028410.000000
-0.025900,-3085666.000000,-3085650.000000
-0.026600,-3142338.000000,-3142340.000000
-0.027300,-3198427.000000,-3198420.000000
-0.028000,-3253537.000000,-3253540.000000
-0.028700,-3308159.000000,-3308160.000000
-0.029400,-3362183.000000,-3362170.000000
-0.030100,-3415626.000000,-3415620.000000
-0.030800,-3468617.000000,-3468610.000000
-0.031500,-3520844.000000,-3520830.000000
-0.032200,-3572613.000000,-3572610.000000
-0.032900,-3623885.000000,-3623870.000000
-0.033600,-3674643.000000,-3674640.000000
-0.034300,-3724832.000000,-3724820.000000
-0.035000,-3774306.000000,-3774300.000000
-0.035700,-3823309.000000,-3823300.000000
-0.036400,-3871943.000000,-3871940.000000
-0.037100,-3920130.000000,-3920130.000000
-0.037800,-3968001.000000,-3968000.000000
