Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000700,50123.760000,50123.700000
0.001400,100243.380000,100244.000000
0.002100,150357.020000,150357.000000
0.002800,200462.040000,200462.000000
0.003500,250556.400000,250556.000000
0.004200,300496.600000,300497.000000
0.004900,349369.400000,349369.000000
0.005600,397971.800000,397971.000000
0.006300,446050.000000,446050.000000
0.007000,491988.000000,491988.000000
0.007700,535794.000000,535794.000000
0.008400,577673.200000,577673.000000
0.009100,618348.800000,618349.000000
0.009800,658170.000000,658170.000000
0.010500,697152.400000,697151.000000
0.011200,734447.200000,734445.000000
0.011900,770655.600000,770655.000000
0.012600,806311.200000,806310.000000
0.013300,841144.800000,841143.000000
0.014000,875045.400000,875044.000000
0.014700,908465.600000,908464.000000
0.015400,941287.000000,941283.000000
0.016100,973394.000000,973391.000000
0.016800,1004908.400000,1004900.000000
0.017500,1035981.600000,1035980.000000
0.018200,1066532.800000,1066530.000000
0.018900,1096441.600000,1096430.000000
0.019600,1125670.600000,1125670.000000
0.020300,1154330.000000,1154330.000000
0.021000,1182537.000000,1182540.000000
0.021700,1210438.800000,1210440.000000
0.022400,1237969.200000,1237970.000000
0.023100,1265054.600000,1265050.000000
0.023800,1291632.000000,1291630.000000
0.024500,1317752.000000,1317750.000000
0.025200,1343605.800000,1343600.000000
0.025900,1369181.600000,1369180.000000
0.026600,1394446.000000,1394440.000000
0.027300,1419460.600000,1419460.000000
0.028000,1444250.200000,1444250.000000
0.028700,1468776.600000,1468770.000000
0.029400,1492888.200000,1492890.000000
0.030100,1516742.800000,1516740.000000
0.030800,1540360.600000,1540360.000000
0.031500,1563775.000000,1563770.000000
0.032200,1586986.000000,1586990.000000
0.032900,1610044.600000,1610040.000000
0.033600,1632940.600000,1632940.000000
0.034300,1655666.800000,1655670.000000
0.035000,1678185.000000,1678180.000000
0.035700,1700475.200000,1700470.000000
0.036400,1722529.600000,1722530.000000
0.037100,1744358.800000,1744360.000000
0.037800,1766001.200000,1766000.000000
0.038500,1787453.600000,1787450.000000
0.039200,1808698.800000,1808700.000000
0.039900,1829792.000000,1829790.000000
0.040600,1850690.600000,1850680.000000
0.041300,1871395.000000,1871390.000000
0.042000,1891965.800000,1891970.000000
0.042700,1912407.200000,1912410.000000
0.043400,1932656.000000,1932660.000000
0.044100,1952742.400000,1952740.000000
0.044800,1972655.400000,1972650.000000
0.045500,1992400.200000,1992400.000000
0.046200,2011986.000000,2011990.000000
0.046900,2031393.800000,2031390.000000
0.047600,2050637.600000,2050640.000000
0.048300,2069738.600000,2069740.000000
0.049000,2088707.600000,2088710.000000
0.049700,2107557.200000,2107560.000000
0.050400,2126300.200000,2126300.000000
0.051100,2144932.600000,2144930.000000
0.051800,2163455.000000,2163460.000000
0.052500,2181840.800000,2181840.000000
0.053200,2200093.600000,2200090.000000
0.053900,2218209.600000,2218210.000000
0.054600,2236169.400000,2236170.000000
0.055300,2254007.600000,2254010.000000
0.056000,2271691.400000,2271690.000000
0.056700,2289229.400000,2289230.000000
0.057400,2306646.200000,2306650.000000
0.058100,2323914.400000,2323900.000000
0.058800,2341054.200000,2341050.000000
0.059500,2358065.400000,2358060.000000
0.060200,2374971.800000,2374970.000000
0.060900,2391785.600000,2391780.000000
0.061600,2408483.200000,2408480.000000
0.062300,2425056.400000,2425050.000000
0.063000,2441524.400000,2441520.000000
0.063700,2457878.000000,2457880.000000
0.064400,2474116.200000,2474120.000000
0.065100,2490254.200000,2490250.000000
0.065800,2506277.200000,2506270.000000
0.066500,2522187.800000,2522190.000000
0.067200,2537978.800000,2537980.000000
0.067900,2553672.400000,2553670.000000
0.068600,2569273.800000,2569270.000000
0.069300,2584787.600000,2584790.000000
0.070000,2600194.000000,2600190.000000
0.070700,2615486.000000,2615490.000000
0.071400,2630680.000000,2630680.000000
0.072100,2630906.000000,2630910.000000
0.072800,2595314.000000,2595290.000000
0.073500,2516786.000000,2516760.000000
0.074200,2437936.800000,2437820.000000
0.074900,2398296.800000,2398300.000000
0.075600,2377278.800000,2377170.000000
0.076300,2382206.800000,2382210.000000
0.077000,2401338.000000,2401380.000000
0.077700,2419736.200000,2419730.000000
0.078400,2437470.800000,2437470.000000
0.079100,2454625.400000,2454620.000000
0.079800,2471377.600000,2471370.000000
0.080500,2487863.000000,2487870.000000
0.081200,2504026.000000,2504030.000000
0.081900,2519986.000000,2519990.000000
0.082600,2535692.000000,2535690.000000
0.083300,2551092.000000,2551090.000000
0.084000,2566272.000000,2566270.000000
0.084700,2581262.000000,2581260.000000
0.085400,2596086.000000,2596090.000000
0.086100,2610796.000000,2610800.000000
0.086800,2625344.000000,2625340.000000
0.087500,2639748.000000,2639750.000000
0.088200,2654020.000000,2654020.000000
0.088900,2668184.000000,2668180.000000
0.089600,2682248.000000,2682250.000000
0.090300,2696212.000000,2696210.000000
0.091000,2710032.000000,2710030.000000
0.091700,2723640.000000,2723640.000000
0.092400,2737176.000000,2737180.000000
0.093100,2750618.000000,2750620.000000
0.093800,2763898.000000,2763900.000000
0.094500,2776900.000000,2776900.000000
0.095200,2789704.000000,2789700.000000
0.095900,2802382.000000,2802380.000000
0.096600,2815226.000000,2815220.000000
0.097300,2827928.000000,2827930.000000
0.098000,2840554.000000,2840560.000000
0.098700,2853058.000000,2853060.000000
0.099400,2865446.000000,2865450.000000
0.100100,2877722.000000,2877720.000000
0.100800,2889906.000000,2889900.000000
0.101500,2902000.000000,2902000.000000
0.102200,2914006.000000,2914010.000000
0.102900,2925926.000000,2925920.000000
0.103600,2937752.000000,2937750.000000
0.104300,2949502.000000,2949500.000000
0.105000,2961158.000000,2961160.000000
0.105700,2972730.000000,2972730.000000
0.106400,2984224.000000,2984220.000000
0.107100,2995632.000000,2995630.000000
0.107800,3006962.000000,3006960.000000
0.108500,3018222.000000,3018220.000000
0.109200,3029414.000000,3029410.000000
0.109900,3040530.000000,3040530.000000
0.110600,3051576.000000,3051570.000000
0.111300,3062548.000000,3062550.000000
0.112000,3073452.000000,3073450.000000
0.112700,3084292.000000,3084290.000000
0.113400,3095062.000000,3095060.000000
0.114100,3105762.000000,3105760.000000
0.114800,3116402.000000,3116400.000000
0.115500,3126978.000000,3126980.000000
0.116200,3137488.000000,3137490.000000
0.116900,3147936.000000,3147940.000000
0.117600,3158320.000000,3158320.000000
0.118300,3168646.000000,3168650.000000
0.119000,3178912.000000,3178910.000000
0.119700,3189116.000000,3189120.000000
0.120400,3199264.000000,3199260.000000
0.121100,3209352.000000,3209350.000000
0.121800,3219372.000000,3219370.000000
0.122500,3229342.000000,3229340.000000
0.123200,3239252.000000,3239250.000000
0.123900,3249100.000000,3249100.000000
0.124600,3258890.000000,3258890.000000
0.125300,3268618.000000,3268620.000000
0.126000,3278276.000000,3278280.000000
0.126700,3287872.000000,3287880.000000
0.127400,3297418.000000,3297420.000000
0.128100,3287692.000000,3287700.000000
0.128800,3175100.000000,3175100.000000
0.129500,2733542.000000,2733540.000000
0.130200,2747776.000000,2747770.000000
0.130900,2764262.000000,2763940.000000
0.131600,2780332.000000,2780340.000000
0.132300,2796606.000000,2796610.000000
0.133000,2812822.000000,2812830.000000
0.133700,2829006.000000,2829010.000000
0.134400,2845048.000000,2845050.000000
0.135100,2861024.000000,2861020.000000
0.135800,2876142.000000,2876330.000000
0.136500,2891512.000000,2891510.000000
0.137200,2906358.000000,2906360.000000
0.137900,2921174.000000,2921170.000000
0.138600,2935072.000000,2935290.000000
0.139300,2932550.000000,2932560.000000
0.140000,2943388.000000,2943410.000000
0.140700,2928190.000000,2928420.000000
0.141400,2897196.000000,2897190.000000
0.142100,2888909.600000,2888910.000000
0.142800,2889169.200000,2889170.000000
0.143500,2902936.000000,2902940.000000
0.144200,2915518.000000,2915520.000000
0.144900,2832886.200000,2832810.000000
