Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000700,125758.940000,125759.000000
0.001400,251515.520000,251515.000000
0.002100,377268.600000,377268.000000
0.002800,503017.600000,503017.000000
0.003500,628761.200000,628761.000000
0.004200,754498.000000,754498.000000
0.004900,880227.800000,880227.000000
0.005600,1005948.800000,1005950.000000
0.006300,1131659.400000,1131660.000000
0.007000,1257360.400000,1257360.000000
0.007700,1383037.600000,1383040.000000
0.008400,1507935.200000,1507940.000000
0.009100,1632191.600000,1632190.000000
0.009800,1754601.400000,1754600.000000
0.010500,1875721.600000,1875720.000000
0.011200,1996030.800000,1996030.000000
0.011900,2113367.200000,2113370.000000
0.012600,2229277.600000,2229270.000000
0.013300,2342357.000000,2342350.000000
0.014000,2451258.400000,2451260.000000
0.014700,2557672.400000,2557670.000000
0.015400,2661398.600000,2661390.000000
0.016100,2761250.000000,2761250.000000
0.016800,2858472.000000,2858470.000000
0.017500,2954104.000000,2954100.000000
0.018200,3048506.000000,3048500.000000
0.018900,3140892.000000,3140880.000000
0.019600,3230792.000000,3230780.000000
0.020300,3318866.000000,3318860.000000
0.021000,3405618.000000,3405610.000000
0.021700,3490594.000000,3490590.000000
0.022400,3574052.000000,3574040.000000
0.023100,3655920.000000,3655910.000000
0.023800,3735982.000000,3735970.000000
0.024500,3815172.000000,3815170.000000
0.025200,3893438.000000,3893430.000000
0.025900,3970244.000000,3970230.000000
0.026600,4045204.000000,4045180.000000
0.027300,4119136.000000,4119130.000000
0.028000,4192532.000000,4192530.000000
0.028700,4265434.000000,4265420.000000
0.029400,4337132.000000,4337130.000000
0.030100,4407740.000000,4407730.000000
0.030800,4477542.000000,4477540.000000
0.031500,4546718.000000,4546710.000000
0.032200,4614874.000000,4614870.000000
0.032900,4682520.000000,4682510.000000
0.033600,4749660.000000,4749660.000000
0.034300,4816530.000000,4816530.000000
0.035000,4882866.000000,4882860.000000
0.035700,4948608.000000,4948590.000000
0.036400,5013570.000000,5013560.000000
0.037100,5077854.000000,5077830.000000
0.037800,5141642.000000,5141640.000000
0.038500,5205260.000000,5205260.000000
0.039200,5268448.000000,5268430.000000
0.039900,5331246.000000,5331240.000000
0.040600,5393428.000000,5393420.000000
0.041300,5455136.000000,5455120.000000
0.042000,5516350.000000,5516340.000000
0.042700,5576964.000000,5576960.000000
0.043400,5637206.000000,5637200.000000
0.044100,5697152.000000,5697150.000000
0.044800,5756598.000000,5756590.000000
0.045500,5815492.000000,5815480.000000
0.046200,5874066.000000,5874060.000000
0.046900,5932372.000000,5932370.000000
0.047600,5990428.000000,5990430.000000
0.048300,6048176.000000,6048160.000000
0.049000,6105426.000000,6105420.000000
0.049700,6162356.000000,6162350.000000
0.050400,6219094.000000,6219090.000000
0.051100,6275486.000000,6275480.000000
0.051800,6331586.000000,6331580.000000
0.052500,6387402.000000,6387390.000000
0.053200,6442676.000000,6442650.000000
0.053900,6497584.000000,6497580.000000
0.054600,6552282.000000,6552280.000000
0.055300,6606778.000000,6606780.000000
0.056000,6661042.000000,6661040.000000
0.056700,6715078.000000,6715070.000000
0.057400,6768776.000000,6768770.000000
0.058100,6822162.000000,6822160.000000
0.058800,6875294.000000,6875290.000000
0.059500,6928184.000000,6928180.000000
0.060200,6980852.000000,6980840.000000
0.060900,7033270.000000,7033270.000000
0.061600,7085540.000000,7085540.000000
0.062300,7137676.000000,7137680.000000
0.063000,7189670.000000,7189660.000000
0.063700,7241474.000000,7241470.000000
0.064400,7293080.000000,7293080.000000
0.065100,7344480.000000,7344480.000000
0.065800,7395616.000000,7395600.000000
0.066500,7446464.000000,7446460.000000
0.067200,7497184.000000,7497180.000000
0.067900,7547748.000000,7547740.000000
0.068600,7598106.000000,7598100.000000
0.069300,7648202.000000,7648180.000000
0.070000,7698002.000000,7698000.000000
0.070700,7747642.000000,7747640.000000
0.071400,7797084.000000,7797080.000000
0.072100,7846340.000000,7846330.000000
0.072800,7895396.000000,7895390.000000
0.073500,7944310.000000,7944300.000000
0.074200,7993042.000000,7993030.000000
0.074900,8041550.000000,8041550.000000
0.075600,8089880.000000,8089870.000000
0.076300,8138030.000000,8138020.000000
0.077000,8185876.000000,8185860.000000
0.077700,8233568.000000,8233560.000000
0.078400,8281098.000000,8281090.000000
0.079100,8328486.000000,8328480.000000
0.079800,8375752.000000,8375750.000000
0.080500,8422810.000000,8422800.000000
0.081200,8469600.000000,8469590.000000
0.081900,8516204.000000,8516200.000000
0.082600,8562660.000000,8562650.000000
0.083300,8608870.000000,8608860.000000
0.084000,8654892.000000,8654890.000000
0.084700,8700778.000000,8700780.000000
0.085400,8746502.000000,8746500.000000
0.086100,8792066.000000,8792060.000000
0.086800,8837476.000000,8837470.000000
0.087500,8882762.000000,8882760.000000
0.088200,8927900.000000,8927900.000000
0.088900,8972872.000000,8972860.000000
0.089600,9017686.000000,9017670.000000
0.090300,9062308.000000,9062300.000000
0.091000,9106732.000000,9106730.000000
0.091700,9150974.000000,9150970.000000
0.092400,9195046.000000,9195040.000000
0.093100,9238954.000000,9238950.000000
0.093800,9282692.000000,9282690.000000
0.094500,9326278.000000,9326270.000000
0.095200,9369684.000000,9369680.000000
0.095900,9412962.000000,9412960.000000
0.096600,9456102.000000,9456100.000000
0.097300,9499108.000000,9499100.000000
0.098000,9541966.000000,9541960.000000
0.098700,9584660.000000,9584640.000000
0.099400,9627110.000000,9627100.000000
0.100100,9669346.000000,9669340.000000
0.100800,9711430.000000,9711430.000000
0.101500,9753352.000000,9753350.000000
0.102200,9795122.000000,9795120.000000
0.102900,9836730.000000,9836730.000000
0.103600,9878188.000000,9878180.000000
0.104300,9919490.000000,9919480.000000
0.105000,9960646.000000,9960640.000000
0.105700,10001664.000000,10001700.000000
0.106400,10042544.000000,10042500.000000
0.107100,10083294.000000,10083300.000000
0.107800,10123890.000000,10123900.000000
0.108500,10164330.000000,10164300.000000
0.109200,10204620.000000,10204600.000000
0.109900,10244756.000000,10244800.000000
0.110600,10284702.000000,10284700.000000
0.111300,10324482.000000,10324500.000000
0.112000,10364104.000000,10364100.000000
0.112700,10403582.000000,10403600.000000
0.113400,10442910.000000,10442900.000000
0.114100,10482070.000000,10482100.000000
0.114800,10521064.000000,10521100.000000
0.115500,10559912.000000,10559900.000000
0.116200,10598612.000000,10598600.000000
0.116900,10637162.000000,10637200.000000
0.117600,10675566.000000,10675600.000000
0.118300,10713842.000000,10713800.000000
0.119000,10751980.000000,10752000.000000
0.119700,10789962.000000,10790000.000000
0.120400,10827800.000000,10827800.000000
0.121100,10865464.000000,10865400.000000
0.121800,10902918.000000,10902900.000000
0.122500,10940202.000000,10940200.000000
0.123200,10977314.000000,10977300.000000
0.123900,11014258.000000,11014300.000000
0.124600,11051048.000000,11051000.000000
0.125300,11087672.000000,11087700.000000
0.126000,11124136.000000,11124100.000000
