Roof_Displacement_m,Base_Shear_N,Pseudo_Time
-0.000420,-56457.040000,-56457.000000
-0.000840,-112912.600000,-112913.000000
-0.001260,-169365.820000,-169366.000000
-0.001680,-225816.800000,-225817.000000
-0.002100,-282264.320000,-282265.000000
-0.002520,-338708.800000,-338709.000000
-0.002940,-395149.200000,-395149.000000
-0.003360,-451584.800000,-451585.000000
-0.003780,-508015.800000,-508016.000000
-0.004200,-564378.800000,-564379.000000
-0.004620,-620589.400000,-620589.000000
-0.005040,-676700.000000,-676700.000000
-0.005460,-732341.800000,-732341.000000
-0.005880,-787267.400000,-787266.000000
-0.006300,-841484.600000,-841482.000000
-0.006720,-895287.800000,-895287.000000
-0.007140,-948490.400000,-948488.000000
-0.007560,-1000739.400000,-1000740.000000
-0.007980,-1051863.600000,-1051860.000000
-0.008400,-1101757.200000,-1101760.000000
-0.008820,-1150494.400000,-1150490.000000
-0.009240,-1197937.800000,-1197930.000000
-0.009660,-1243900.400000,-1243900.000000
-0.010080,-1288712.400000,-1288710.000000
-0.010500,-1332649.400000,-1332650.000000
-0.010920,-1375338.600000,-1375330.000000
-0.011340,-1416655.600000,-1416650.000000
-0.011760,-1457033.400000,-1457030.000000
-0.012180,-1496641.000000,-1496640.000000
-0.012600,-1535213.600000,-1535210.000000
-0.013020,-1573142.600000,-1573140.000000
-0.013440,-1610215.800000,-1610210.000000
-0.013860,-1646596.600000,-1646590.000000
-0.014280,-1682114.800000,-1682110.000000
-0.014700,-1717150.600000,-1717150.000000
-0.015120,-1751577.000000,-1751570.000000
-0.015540,-1785234.400000,-1785230.000000
-0.015960,-1818386.200000,-1818390.000000
-0.016380,-1851330.200000,-1851330.000000
-0.016800,-1884162.400000,-1884160.000000
-0.017220,-1916610.600000,-1916610.000000
-0.017640,-1948711.800000,-1948710.000000
-0.018060,-1980329.200000,-1980320.000000
-0.018480,-2011462.000000,-2011450.000000
-0.018900,-2042217.800000,-2042220.000000
-0.019320,-2072349.000000,-2072340.000000
-0.019740,-2102030.000000,-2102030.000000
-0.020160,-2131360.400000,-2131360.000000
-0.020580,-2160578.200000,-2160580.000000
-0.021000,-2189656.000000,-2189660.000000
-0.021420,-2218510.800000,-2218510.000000
-0.021840,-2247189.800000,-2247190.000000
-0.022260,-2275718.600000,-2275720.000000
-0.022680,-2304091.800000,-2304090.000000
-0.023100,-2332271.000000,-2332270.000000
-0.023520,-2360269.200000,-2360270.000000
-0.023940,-2387980.000000,-2387980.000000
-0.024360,-2415352.400000,-2415350.000000
-0.024780,-2442388.800000,-2442380.000000
-0.025200,-2469065.600000,-2469070.000000
-0.025620,-2495538.800000,-2495540.000000
-0.026040,-2521887.400000,-2521890.000000
-0.026460,-2548113.400000,-2548110.000000
-0.026880,-2574243.400000,-2574240.000000
-0.027300,-2600282.800000,-2600280.000000
-0.027720,-2626218.800000,-2626220.000000
-0.028140,-2652064.800000,-2652070.000000
-0.028560,-2677850.000000,-2677850.000000
-0.028980,-2703549.800000,-2703550.000000
-0.029400,-2729150.400000,-2729150.000000
-0.029820,-2754666.600000,-2754670.000000
-0.030240,-2780090.400000,-2780090.000000
-0.030660,-2805347.200000,-2805350.000000
-0.031080,-2830450.200000,-2830450.000000
-0.031500,-2855377.200000,-2855380.000000
-0.031920,-2880187.600000,-2880180.000000
-0.032340,-2904921.600000,-2904920.000000
-0.032760,-2929576.800000,-2929570.000000
-0.033180,-2954149.200000,-2954150.000000
-0.033600,-2978623.400000,-2978630.000000
-0.034020,-3003029.800000,-3003030.000000
-0.034440,-3027340.400000,-3027340.000000
-0.034860,-3051535.800000,-3051530.000000
-0.035280,-3075618.400000,-3075620.000000
-0.035700,-3099631.000000,-3099630.000000
-0.036120,-3123567.400000,-3123570.000000
-0.036540,-3147425.000000,-3147430.000000
-0.036960,-3171222.000000,-3171220.000000
-0.037380,-3194966.000000,-3194960.000000
-0.037800,-3218628.000000,-3218630.000000
-0.038220,-3242218.000000,-3242220.000000
-0.038640,-3265718.000000,-3265720.000000
-0.039060,-3289158.000000,-3289160.000000
-0.039480,-3312522.000000,-3312520.000000
-0.039900,-3335792.000000,-3335790.000000
-0.040320,-3359004.000000,-3359010.000000
-0.040740,-3382180.000000,-3382180.000000
-0.041160,-3405320.000000,-3405320.000000
-0.041580,-3428410.000000,-3428410.000000
-0.042000,-3451446.000000,-3451440.000000
-0.042420,-3474392.000000,-3474390.000000
-0.042840,-3497284.000000,-3497280.000000
-0.043260,-3520100.000000,-3520100.000000
-0.043680,-3542834.000000,-3542830.000000
-0.044100,-3565492.000000,-3565490.000000
