Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000700,137846.100000,137846.000000
0.001400,275689.440000,275689.000000
0.002100,413526.800000,413527.000000
0.002800,551356.000000,551356.000000
0.003500,689174.000000,689174.000000
0.004200,826978.200000,826978.000000
0.004900,963946.400000,963946.000000
0.005600,1098984.200000,1098980.000000
0.006300,1231641.400000,1231640.000000
0.007000,1360887.600000,1360890.000000
0.007700,1485226.600000,1485230.000000
0.008400,1604517.200000,1604520.000000
0.009100,1719359.400000,1719360.000000
0.009800,1829492.600000,1829490.000000
0.010500,1935900.400000,1935900.000000
0.011200,2039262.600000,2039260.000000
0.011900,2139783.400000,2139780.000000
0.012600,2237289.000000,2237290.000000
0.013300,2332689.600000,2332690.000000
0.014000,2425258.000000,2425260.000000
0.014700,2515717.800000,2515710.000000
0.015400,2604532.200000,2604530.000000
0.016100,2691262.400000,2691260.000000
0.016800,2776344.000000,2776340.000000
0.017500,2859894.000000,2859890.000000
0.018200,2941812.000000,2941810.000000
0.018900,3022028.000000,3022020.000000
0.019600,3101228.000000,3101230.000000
0.020300,3179598.000000,3179590.000000
0.021000,3256356.000000,3256350.000000
0.021700,3331886.000000,3331880.000000
0.022400,3406492.000000,3406480.000000
0.023100,3480048.000000,3480050.000000
0.023800,3552814.000000,3552810.000000
0.024500,3624746.000000,3624740.000000
0.025200,3695474.000000,3695460.000000
0.025900,3765226.000000,3765220.000000
0.026600,3834224.000000,3834210.000000
0.027300,3902472.000000,3902470.000000
0.028000,3970306.000000,3970300.000000
0.028700,4037432.000000,4037410.000000
0.029400,4103556.000000,4103550.000000
0.030100,4168926.000000,4168920.000000
0.030800,4233710.000000,4233710.000000
0.031500,4297986.000000,4297980.000000
0.032200,4361410.000000,4361400.000000
0.032900,4424290.000000,4424280.000000
0.033600,4486854.000000,4486850.000000
0.034300,4548936.000000,4548930.000000
0.035000,4610604.000000,4610600.000000
0.035700,4671786.000000,4671780.000000
0.036400,4732490.000000,4732480.000000
0.037100,4792678.000000,4792670.000000
0.037800,4852148.000000,4852120.000000
0.038500,4911140.000000,4911140.000000
0.039200,4969796.000000,4969790.000000
0.039900,5028046.000000,5028040.000000
0.040600,5085904.000000,5085900.000000
0.041300,5143212.000000,5143200.000000
0.042000,5199836.000000,5199830.000000
0.042700,5256142.000000,5256140.000000
0.043400,5312120.000000,5312120.000000
0.044100,5367654.000000,5367650.000000
