Roof_Displacement_m,Base_Shear_N,Pseudo_Time
-0.007000,-995803.700000,-995804.000000
-0.014000,-1859095.600000,-1859090.000000
-0.021000,-2502429.200000,-2502430.000000
-0.028000,-3043149.000000,-3043150.000000
-0.035000,-3527196.000000,-3527200.000000
-0.042000,-3972552.000000,-3972250.000000
-0.049000,-4387573.000000,-4387260.000000
-0.056000,-4777476.000000,-4777340.000000
-0.063000,-5144217.000000,-5143870.000000
-0.070000,-5490145.000000,-5489820.000000
-0.077000,-5816690.000000,-5816480.000000
-0.084000,-6125234.000000,-6124940.000000
-0.091000,-6415935.000000,-6415790.000000
-0.098000,-6647207.000000,-6647180.000000
-0.105000,-6640509.000000,-6640300.000000
-0.112000,-6661102.000000,-6661100.000000
-0.119000,-6653392.000000,-6653390.000000
-0.126000,-6547922.000000,-6547900.000000
-0.133000,-6561225.000000,-6561180.000000
-0.140000,-6482129.000000,-6482130.000000
-0.147000,-6439951.000000,-6439950.000000
-0.154000,-6497603.000000,-6497600.000000
-0.161000,-6522782.000000,-6522760.000000
-0.168000,-6599179.000000,-6599180.000000
-0.175000,-6652387.000000,-6652390.000000
-0.182000,-6743179.000000,-6743180.000000
-0.189000,-6825664.000000,-6825660.000000
-0.196000,-6875723.000000,-6875700.000000
-0.203000,-6978785.000000,-6978780.000000
-0.210000,-7055757.000000,-7055770.000000
-0.217000,-7115025.000000,-7114980.000000
-0.224000,-7139645.000000,-7139610.000000
-0.231000,-7232195.000000,-7232190.000000
-0.238000,-7320572.000000,-7320570.000000
-0.245000,-7398341.000000,-7398340.000000
-0.252000,-7467193.000000,-7467190.000000
-0.259000,-7549482.000000,-7549480.000000
-0.266000,-7567386.000000,-7567380.000000
-0.273000,-7569456.000000,-7569460.000000
-0.280000,-7322512.000000,-7322510.000000
-0.287000,-5329772.000000,-5329760.000000
-0.294000,-4975237.000000,-4975240.000000
-0.301000,-5077693.000000,-5077540.000000
-0.308000,-5205784.000000,-5205790.000000
-0.315000,-5373305.000000,-5373310.000000
-0.322000,-5546079.000000,-5546080.000000
-0.329000,-5716466.000000,-5716950.000000
-0.336000,-5883411.000000,-5883530.000000
-0.343000,-6032355.000000,-6032350.000000
-0.350000,-6170478.000000,-6170590.000000
-0.357000,-6308429.000000,-6308630.000000
-0.364000,-6435791.000000,-6435980.000000
-0.371000,-6510060.000000,-6509840.000000
-0.378000,-6614437.000000,-6614400.000000
-0.385000,-6721906.000000,-6721890.000000
-0.392000,-6672416.000000,-6672410.000000
-0.399000,-6289262.000000,-6289270.000000
-0.406000,-5481632.000000,-5481630.000000
-0.413000,-5394075.000000,-5394180.000000
-0.420000,-5409797.000000,-5409800.000000
-0.427000,-5559712.000000,-5559710.000000
-0.434000,-5704064.000000,-5704070.000000
-0.441000,-5846047.000000,-5846090.000000
-0.448000,-5994406.000000,-5994410.000000
-0.455000,-6147338.000000,-6148180.000000
-0.462000,-6300466.000000,-6299740.000000
-0.469000,-6446159.000000,-6446160.000000
-0.476000,-6585627.000000,-6585830.000000
-0.483000,-6712280.000000,-6712290.000000
-0.490000,-6836258.000000,-6836260.000000
-0.497000,-6911520.000000,-6911520.000000
-0.504000,-6941061.000000,-6941060.000000
-0.511000,-7007689.000000,-7007690.000000
-0.518000,-7077280.000000,-7077290.000000
-0.525000,-7169767.000000,-7169770.000000
-0.532000,-7238117.000000,-7238110.000000
-0.539000,-7252983.000000,-7252980.000000
-0.546000,-7356951.000000,-7356950.000000
-0.553000,-7449205.000000,-7449200.000000
-0.560000,-7496798.000000,-7496800.000000
-0.567000,-7558979.000000,-7558980.000000
-0.574000,-7557164.000000,-7555060.000000
-0.581000,-7615737.000000,-7615740.000000
-0.588000,-7679989.000000,-7679990.000000
-0.595000,-7727938.000000,-7727930.000000
-0.602000,-7769602.000000,-7769070.000000
-0.609000,-7849301.000000,-7849300.000000
-0.616000,-7908727.000000,-7908680.000000
-0.623000,-7935170.000000,-7935170.000000
-0.630000,-7855532.000000,-7855630.000000
-0.637000,-7582820.000000,-7582820.000000
